Marque,Modèle,Année,Type de carburant,Puissance fiscale,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix,average_km,Âge
DS,DS7,2019.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,280000.0,104999.5,6.0
Nissan,Murano,2006.0,Essence,20.0,5.0,Non,Correct,Automatique,WW au Maroc,41000.0,164999.5,19.0
Peugeot,208,2019.0,Diesel,6.0,5.0,Oui,Neuf,Manuelle,WW au Maroc,123000.0,134999.5,6.0
Dacia,Sandero,2018.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,125000.0,104999.5,7.0
Citroen,C3,2021.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,143000.0,62499.5,4.0
Volkswagen,Tiguan,2017.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,Dédouanée,310000.0,97499.5,8.0
Volkswagen,Golf 6,2015.0,Diesel,8.0,5.0,Oui,Excellent,Manuelle,Dédouanée,113000.0,184999.5,10.0
Fiat,500,2023.0,Essence,7.0,5.0,Oui,Excellent,Automatique,WW au Maroc,153000.0,32499.5,2.0
Volkswagen,Touareg,2008.0,Diesel,12.0,5.0,Non,Très bon,Automatique,Dédouanée,73000.0,224999.5,17.0
Dacia,Logan,2019.0,Diesel,6.0,3.0,Non,Excellent,Manuelle,WW au Maroc,117000.0,124999.5,6.0
Volkswagen,Golf 8,2023.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,320000.0,57499.5,2.0
Hyundai,Creta,2016.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,150000.0,154999.5,9.0
Renault,Megane,2018.0,Diesel,6.0,5.0,Non,Neuf,Automatique,WW au Maroc,168000.0,134999.5,7.0
Renault,Express,2022.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,167000.0,77499.5,3.0
Audi,Q5,2020.0,Diesel,8.0,5.0,Oui,Bon,Automatique,WW au Maroc,360000.0,184999.5,5.0
Peugeot,308,2019.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,129000.0,184999.5,6.0
Mercedes-Benz,220,2001.0,Diesel,9.0,5.0,Oui,Bon,Manuelle,Dédouanée,73000.0,274999.5,24.0
Opel,Insignia,2018.0,Diesel,8.0,5.0,Non,Excellent,Automatique,WW au Maroc,185000.0,124999.5,7.0
Volkswagen,Tiguan,2020.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,290000.0,224999.5,5.0
Opel,Adam,2017.0,Essence,7.0,3.0,Oui,Excellent,Manuelle,WW au Maroc,100000.0,37499.5,8.0
Opel,Corsa,2020.0,Essence,7.0,5.0,Non,Excellent,Manuelle,WW au Maroc,130000.0,104999.5,5.0
Peugeot,2008,2020.0,Diesel,6.0,5.0,Non,Excellent,Automatique,WW au Maroc,245000.0,97499.5,5.0
Mercedes-Benz,220,2016.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,Dédouanée,295000.0,144999.5,9.0
Peugeot,208,2023.0,Diesel,6.0,3.0,Oui,Excellent,Manuelle,Dédouanée,160000.0,62499.5,2.0
Mercedes-Benz,220,2003.0,Diesel,9.0,5.0,Non,Très bon,Manuelle,Dédouanée,88000.0,224999.5,22.0
Volkswagen,Golf 8,2022.0,Diesel,8.0,5.0,Non,Excellent,Automatique,WW au Maroc,305000.0,104999.5,3.0
Citroen,C3,2019.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,120000.0,174999.5,6.0
Mercedes-Benz,Classe B,2013.0,Diesel,7.0,5.0,Non,Excellent,Manuelle,WW au Maroc,130000.0,324999.5,12.0
Mercedes-Benz,Classe CLC,2016.0,Diesel,9.0,5.0,Non,Très bon,Automatique,WW au Maroc,240000.0,224999.5,9.0
Renault,Clio,2017.0,Diesel,7.0,5.0,Non,Très bon,Automatique,WW au Maroc,123000.0,144999.5,8.0
Volkswagen,Golf 8,2022.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,310000.0,62499.5,3.0
Fiat,Punto,2015.0,Diesel,5.0,5.0,Non,Excellent,Manuelle,WW au Maroc,85000.0,144999.5,10.0
Citroen,C-Elysée,2022.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,128000.0,87499.5,3.0
